"GEOID","NAME","variable","estimate","State"
"06001","Alameda County, California","TotalPopulation","1656754","CA"
"06001","Alameda County, California","MedianHouseholdIncome","99406","CA"
"06003","Alpine County, California","TotalPopulation","1039","CA"
"06003","Alpine County, California","MedianHouseholdIncome","63750","CA"
"06005","Amador County, California","TotalPopulation","38429","CA"
"06005","Amador County, California","MedianHouseholdIncome","62772","CA"
"06007","Butte County, California","TotalPopulation","225817","CA"
"06007","Butte County, California","MedianHouseholdIncome","52537","CA"
"06009","Calaveras County, California","TotalPopulation","45514","CA"
"06009","Calaveras County, California","MedianHouseholdIncome","63158","CA"
"06011","Colusa County, California","TotalPopulation","21454","CA"
"06011","Colusa County, California","MedianHouseholdIncome","59401","CA"
"06013","Contra Costa County, California","TotalPopulation","1142251","CA"
"06013","Contra Costa County, California","MedianHouseholdIncome","99716","CA"
"06015","Del Norte County, California","TotalPopulation","27495","CA"
"06015","Del Norte County, California","MedianHouseholdIncome","45283","CA"
"06017","El Dorado County, California","TotalPopulation","188563","CA"
"06017","El Dorado County, California","MedianHouseholdIncome","83377","CA"
"06019","Fresno County, California","TotalPopulation","984521","CA"
"06019","Fresno County, California","MedianHouseholdIncome","53969","CA"
"06021","Glenn County, California","TotalPopulation","27976","CA"
"06021","Glenn County, California","MedianHouseholdIncome","49633","CA"
"06023","Humboldt County, California","TotalPopulation","135940","CA"
"06023","Humboldt County, California","MedianHouseholdIncome","48041","CA"
"06025","Imperial County, California","TotalPopulation","180701","CA"
"06025","Imperial County, California","MedianHouseholdIncome","47622","CA"
"06027","Inyo County, California","TotalPopulation","17977","CA"
"06027","Inyo County, California","MedianHouseholdIncome","57316","CA"
"06029","Kern County, California","TotalPopulation","887641","CA"
"06029","Kern County, California","MedianHouseholdIncome","53350","CA"
"06031","Kings County, California","TotalPopulation","150691","CA"
"06031","Kings County, California","MedianHouseholdIncome","57848","CA"
"06033","Lake County, California","TotalPopulation","64195","CA"
"06033","Lake County, California","MedianHouseholdIncome","47040","CA"
"06035","Lassen County, California","TotalPopulation","30818","CA"
"06035","Lassen County, California","MedianHouseholdIncome","56352","CA"
"06037","Los Angeles County, California","TotalPopulation","10081570","CA"
"06037","Los Angeles County, California","MedianHouseholdIncome","68044","CA"
"06039","Madera County, California","TotalPopulation","155433","CA"
"06039","Madera County, California","MedianHouseholdIncome","57585","CA"
"06041","Marin County, California","TotalPopulation","259943","CA"
"06041","Marin County, California","MedianHouseholdIncome","115246","CA"
"06043","Mariposa County, California","TotalPopulation","17420","CA"
"06043","Mariposa County, California","MedianHouseholdIncome","48820","CA"
"06045","Mendocino County, California","TotalPopulation","87224","CA"
"06045","Mendocino County, California","MedianHouseholdIncome","51416","CA"
"06047","Merced County, California","TotalPopulation","271382","CA"
"06047","Merced County, California","MedianHouseholdIncome","53672","CA"
"06049","Modoc County, California","TotalPopulation","8907","CA"
"06049","Modoc County, California","MedianHouseholdIncome","45507","CA"
"06051","Mono County, California","TotalPopulation","14310","CA"
"06051","Mono County, California","MedianHouseholdIncome","62260","CA"
"06053","Monterey County, California","TotalPopulation","433410","CA"
"06053","Monterey County, California","MedianHouseholdIncome","71015","CA"
"06055","Napa County, California","TotalPopulation","139623","CA"
"06055","Napa County, California","MedianHouseholdIncome","88596","CA"
"06057","Nevada County, California","TotalPopulation","99244","CA"
"06057","Nevada County, California","MedianHouseholdIncome","66096","CA"
"06059","Orange County, California","TotalPopulation","3168044","CA"
"06059","Orange County, California","MedianHouseholdIncome","90234","CA"
"06061","Placer County, California","TotalPopulation","385512","CA"
"06061","Placer County, California","MedianHouseholdIncome","89691","CA"
"06063","Plumas County, California","TotalPopulation","18660","CA"
"06063","Plumas County, California","MedianHouseholdIncome","55359","CA"
"06065","Riverside County, California","TotalPopulation","2411439","CA"
"06065","Riverside County, California","MedianHouseholdIncome","67005","CA"
"06067","Sacramento County, California","TotalPopulation","1524553","CA"
"06067","Sacramento County, California","MedianHouseholdIncome","67151","CA"
"06069","San Benito County, California","TotalPopulation","60376","CA"
"06069","San Benito County, California","MedianHouseholdIncome","86958","CA"
"06071","San Bernardino County, California","TotalPopulation","2149031","CA"
"06071","San Bernardino County, California","MedianHouseholdIncome","63362","CA"
"06073","San Diego County, California","TotalPopulation","3316073","CA"
"06073","San Diego County, California","MedianHouseholdIncome","78980","CA"
"06075","San Francisco County, California","TotalPopulation","874961","CA"
"06075","San Francisco County, California","MedianHouseholdIncome","112449","CA"
"06077","San Joaquin County, California","TotalPopulation","742603","CA"
"06077","San Joaquin County, California","MedianHouseholdIncome","64432","CA"
"06079","San Luis Obispo County, California","TotalPopulation","282165","CA"
"06079","San Luis Obispo County, California","MedianHouseholdIncome","73518","CA"
"06081","San Mateo County, California","TotalPopulation","767423","CA"
"06081","San Mateo County, California","MedianHouseholdIncome","122641","CA"
"06083","Santa Barbara County, California","TotalPopulation","444829","CA"
"06083","Santa Barbara County, California","MedianHouseholdIncome","74624","CA"
"06085","Santa Clara County, California","TotalPopulation","1927470","CA"
"06085","Santa Clara County, California","MedianHouseholdIncome","124055","CA"
"06087","Santa Cruz County, California","TotalPopulation","273962","CA"
"06087","Santa Cruz County, California","MedianHouseholdIncome","82234","CA"
"06089","Shasta County, California","TotalPopulation","179212","CA"
"06089","Shasta County, California","MedianHouseholdIncome","54667","CA"
"06091","Sierra County, California","TotalPopulation","3040","CA"
"06091","Sierra County, California","MedianHouseholdIncome","52148","CA"
"06093","Siskiyou County, California","TotalPopulation","43468","CA"
"06093","Siskiyou County, California","MedianHouseholdIncome","45241","CA"
"06095","Solano County, California","TotalPopulation","441829","CA"
"06095","Solano County, California","MedianHouseholdIncome","81472","CA"
"06097","Sonoma County, California","TotalPopulation","499772","CA"
"06097","Sonoma County, California","MedianHouseholdIncome","81018","CA"
"06099","Stanislaus County, California","TotalPopulation","543194","CA"
"06099","Stanislaus County, California","MedianHouseholdIncome","60704","CA"
"06101","Sutter County, California","TotalPopulation","96109","CA"
"06101","Sutter County, California","MedianHouseholdIncome","59050","CA"
"06103","Tehama County, California","TotalPopulation","63912","CA"
"06103","Tehama County, California","MedianHouseholdIncome","44514","CA"
"06105","Trinity County, California","TotalPopulation","12700","CA"
"06105","Trinity County, California","MedianHouseholdIncome","40846","CA"
"06107","Tulare County, California","TotalPopulation","461898","CA"
"06107","Tulare County, California","MedianHouseholdIncome","49687","CA"
"06109","Tuolumne County, California","TotalPopulation","54045","CA"
"06109","Tuolumne County, California","MedianHouseholdIncome","60108","CA"
"06111","Ventura County, California","TotalPopulation","847263","CA"
"06111","Ventura County, California","MedianHouseholdIncome","88131","CA"
"06113","Yolo County, California","TotalPopulation","217352","CA"
"06113","Yolo County, California","MedianHouseholdIncome","70228","CA"
"06115","Yuba County, California","TotalPopulation","76360","CA"
"06115","Yuba County, California","MedianHouseholdIncome","58054","CA"
"12001","Alachua County, Florida","TotalPopulation","265443","FL"
"12001","Alachua County, Florida","MedianHouseholdIncome","49689","FL"
"12003","Baker County, Florida","TotalPopulation","28211","FL"
"12003","Baker County, Florida","MedianHouseholdIncome","63275","FL"
"12005","Bay County, Florida","TotalPopulation","182161","FL"
"12005","Bay County, Florida","MedianHouseholdIncome","54316","FL"
"12007","Bradford County, Florida","TotalPopulation","27317","FL"
"12007","Bradford County, Florida","MedianHouseholdIncome","45921","FL"
"12009","Brevard County, Florida","TotalPopulation","585507","FL"
"12009","Brevard County, Florida","MedianHouseholdIncome","56775","FL"
"12011","Broward County, Florida","TotalPopulation","1926205","FL"
"12011","Broward County, Florida","MedianHouseholdIncome","59547","FL"
"12013","Calhoun County, Florida","TotalPopulation","14362","FL"
"12013","Calhoun County, Florida","MedianHouseholdIncome","38568","FL"
"12015","Charlotte County, Florida","TotalPopulation","181067","FL"
"12015","Charlotte County, Florida","MedianHouseholdIncome","51499","FL"
"12017","Citrus County, Florida","TotalPopulation","145169","FL"
"12017","Citrus County, Florida","MedianHouseholdIncome","44237","FL"
"12019","Clay County, Florida","TotalPopulation","211405","FL"
"12019","Clay County, Florida","MedianHouseholdIncome","65740","FL"
"12021","Collier County, Florida","TotalPopulation","371453","FL"
"12021","Collier County, Florida","MedianHouseholdIncome","69653","FL"
"12023","Columbia County, Florida","TotalPopulation","69968","FL"
"12023","Columbia County, Florida","MedianHouseholdIncome","46494","FL"
"12027","DeSoto County, Florida","TotalPopulation","36903","FL"
"12027","DeSoto County, Florida","MedianHouseholdIncome","35438","FL"
"12029","Dixie County, Florida","TotalPopulation","16589","FL"
"12029","Dixie County, Florida","MedianHouseholdIncome","39828","FL"
"12031","Duval County, Florida","TotalPopulation","936186","FL"
"12031","Duval County, Florida","MedianHouseholdIncome","55807","FL"
"12033","Escambia County, Florida","TotalPopulation","313491","FL"
"12033","Escambia County, Florida","MedianHouseholdIncome","50915","FL"
"12035","Flagler County, Florida","TotalPopulation","109801","FL"
"12035","Flagler County, Florida","MedianHouseholdIncome","54514","FL"
"12037","Franklin County, Florida","TotalPopulation","11811","FL"
"12037","Franklin County, Florida","MedianHouseholdIncome","46643","FL"
"12039","Gadsden County, Florida","TotalPopulation","45945","FL"
"12039","Gadsden County, Florida","MedianHouseholdIncome","41401","FL"
"12041","Gilchrist County, Florida","TotalPopulation","17953","FL"
"12041","Gilchrist County, Florida","MedianHouseholdIncome","43640","FL"
"12043","Glades County, Florida","TotalPopulation","13516","FL"
