state,winner 
Alabama,Trump/Pence
Alaska,Trump/Pence
Arkansas,Trump/Pence
Florida,Trump/Pence
Idaho,Trump/Pence
Indiana,Trump/Pence
Iowa,Trump/Pence
Kansas,Trump/Pence
Kentucky,Trump/Pence
Louisiana,Trump/Pence
Mississippi,Trump/Pence
Missouri,Trump/Pence
Montana,Trump/Pence
North Carolina,Trump/Pence
North Dakota,Trump/Pence
Ohio,Trump/Pence
Oklahoma,Trump/Pence
South Carolina,Trump/Pence
South Dakota,Trump/Pence
Tennessee,Trump/Pence
Texas,Trump/Pence
Utah,Trump/Pence
West Virginia,Trump/Pence
Wyoming,Trump/Pence
Arizona,Biden/Harris
California,Biden/Harris
Colorado,Biden/Harris
Connecticut,Biden/Harris
Delaware,Biden/Harris
District of Columbia,Biden/Harris
Georgia,Biden/Harris
Hawaii,Biden/Harris
Illinois,Biden/Harris
Maryland,Biden/Harris
Massachusetts,Biden/Harris
Michigan,Biden/Harris
Minnesota,Biden/Harris
Nevada,Biden/Harris
New Hampshire,Biden/Harris
New Jersey,Biden/Harris
New Mexico,Biden/Harris
New York,Biden/Harris
Oregon,Biden/Harris
Pennsylvania,Biden/Harris
Rhode Island,Biden/Harris
Vermont,Biden/Harris
Virginia,Biden/Harris
Washington,Biden/Harris
Wisconsin,Biden/Harris
Nebraska,Trump/Pence
Maine,Biden/Harris
