"GEOID","NAME","variable","estimate","moe"
"01001","Autauga County, Alabama","B01001_001",55380,NA
"01001","Autauga County, Alabama","B01001_002",26934,166
"01001","Autauga County, Alabama","B01001_003",1734,98
"01001","Autauga County, Alabama","B01001_004",2153,235
"01001","Autauga County, Alabama","B01001_005",1654,209
"01001","Autauga County, Alabama","B01001_006",1229,41
"01001","Autauga County, Alabama","B01001_007",676,124
"01001","Autauga County, Alabama","B01001_008",335,147
"01001","Autauga County, Alabama","B01001_009",326,168
"01001","Autauga County, Alabama","B01001_010",1147,293
"01001","Autauga County, Alabama","B01001_011",1754,82
"01001","Autauga County, Alabama","B01001_012",1712,99
"01001","Autauga County, Alabama","B01001_013",1954,284
"01001","Autauga County, Alabama","B01001_014",1503,264
"01001","Autauga County, Alabama","B01001_015",1878,54
"01001","Autauga County, Alabama","B01001_016",1928,64
"01001","Autauga County, Alabama","B01001_017",2190,221
"01001","Autauga County, Alabama","B01001_018",558,177
"01001","Autauga County, Alabama","B01001_019",609,162
"01001","Autauga County, Alabama","B01001_020",438,109
"01001","Autauga County, Alabama","B01001_021",646,135
"01001","Autauga County, Alabama","B01001_022",1056,132
"01001","Autauga County, Alabama","B01001_023",670,142
"01001","Autauga County, Alabama","B01001_024",399,115
"01001","Autauga County, Alabama","B01001_025",385,121
"01001","Autauga County, Alabama","B01001_026",28446,166
"01001","Autauga County, Alabama","B01001_027",1483,24
"01001","Autauga County, Alabama","B01001_028",1661,282
"01001","Autauga County, Alabama","B01001_029",1946,278
"01001","Autauga County, Alabama","B01001_030",1345,154
"01001","Autauga County, Alabama","B01001_031",562,72
"01001","Autauga County, Alabama","B01001_032",468,183
"01001","Autauga County, Alabama","B01001_033",219,113
"01001","Autauga County, Alabama","B01001_034",1075,255
"01001","Autauga County, Alabama","B01001_035",1848,127
"01001","Autauga County, Alabama","B01001_036",1742,70
"01001","Autauga County, Alabama","B01001_037",1961,221
"01001","Autauga County, Alabama","B01001_038",1888,239
"01001","Autauga County, Alabama","B01001_039",2011,71
"01001","Autauga County, Alabama","B01001_040",1919,38
"01001","Autauga County, Alabama","B01001_041",2057,208
"01001","Autauga County, Alabama","B01001_042",814,188
"01001","Autauga County, Alabama","B01001_043",758,162
"01001","Autauga County, Alabama","B01001_044",488,127
"01001","Autauga County, Alabama","B01001_045",805,182
"01001","Autauga County, Alabama","B01001_046",1385,182
"01001","Autauga County, Alabama","B01001_047",1010,144
"01001","Autauga County, Alabama","B01001_048",502,126
"01001","Autauga County, Alabama","B01001_049",499,116
"01003","Baldwin County, Alabama","B01001_001",212830,NA
"01003","Baldwin County, Alabama","B01001_002",103496,233
"01003","Baldwin County, Alabama","B01001_003",5948,30
"01003","Baldwin County, Alabama","B01001_004",5583,575
"01003","Baldwin County, Alabama","B01001_005",7713,590
"01003","Baldwin County, Alabama","B01001_006",4304,148
"01003","Baldwin County, Alabama","B01001_007",2239,225
"01003","Baldwin County, Alabama","B01001_008",1156,386
"01003","Baldwin County, Alabama","B01001_009",865,251
"01003","Baldwin County, Alabama","B01001_010",3524,440
"01003","Baldwin County, Alabama","B01001_011",6048,260
"01003","Baldwin County, Alabama","B01001_012",5802,65
"01003","Baldwin County, Alabama","B01001_013",6480,547
"01003","Baldwin County, Alabama","B01001_014",6089,513
"01003","Baldwin County, Alabama","B01001_015",6720,157
"01003","Baldwin County, Alabama","B01001_016",7034,246
"01003","Baldwin County, Alabama","B01001_017",7019,512
"01003","Baldwin County, Alabama","B01001_018",2432,302
"01003","Baldwin County, Alabama","B01001_019",4805,515
"01003","Baldwin County, Alabama","B01001_020",2443,369
"01003","Baldwin County, Alabama","B01001_021",3906,390
"01003","Baldwin County, Alabama","B01001_022",5849,458
"01003","Baldwin County, Alabama","B01001_023",3623,333
"01003","Baldwin County, Alabama","B01001_024",2305,299
"01003","Baldwin County, Alabama","B01001_025",1609,312
"01003","Baldwin County, Alabama","B01001_026",109334,233
"01003","Baldwin County, Alabama","B01001_027",5741,40
"01003","Baldwin County, Alabama","B01001_028",6475,559
"01003","Baldwin County, Alabama","B01001_029",6549,604
"01003","Baldwin County, Alabama","B01001_030",3922,71
"01003","Baldwin County, Alabama","B01001_031",2366,172
"01003","Baldwin County, Alabama","B01001_032",1232,335
"01003","Baldwin County, Alabama","B01001_033",964,291
"01003","Baldwin County, Alabama","B01001_034",3137,457
"01003","Baldwin County, Alabama","B01001_035",6126,168
"01003","Baldwin County, Alabama","B01001_036",5966,66
"01003","Baldwin County, Alabama","B01001_037",6753,511
"01003","Baldwin County, Alabama","B01001_038",6512,526
"01003","Baldwin County, Alabama","B01001_039",7316,171
"01003","Baldwin County, Alabama","B01001_040",7342,154
"01003","Baldwin County, Alabama","B01001_041",8062,549
"01003","Baldwin County, Alabama","B01001_042",3499,484
"01003","Baldwin County, Alabama","B01001_043",4576,453
"01003","Baldwin County, Alabama","B01001_044",2693,399
"01003","Baldwin County, Alabama","B01001_045",4392,449
"01003","Baldwin County, Alabama","B01001_046",6456,566
"01003","Baldwin County, Alabama","B01001_047",4518,399
"01003","Baldwin County, Alabama","B01001_048",2298,283
"01003","Baldwin County, Alabama","B01001_049",2439,433
"01005","Barbour County, Alabama","B01001_001",25361,NA
"01005","Barbour County, Alabama","B01001_002",13421,80
"01005","Barbour County, Alabama","B01001_003",696,32
"01005","Barbour County, Alabama","B01001_004",725,144
"01005","Barbour County, Alabama","B01001_005",770,135
"01005","Barbour County, Alabama","B01001_006",470,34
"01005","Barbour County, Alabama","B01001_007",257,22
"01005","Barbour County, Alabama","B01001_008",303,112
"01005","Barbour County, Alabama","B01001_009",135,65
"01005","Barbour County, Alabama","B01001_010",503,99
"01005","Barbour County, Alabama","B01001_011",1143,38
"01005","Barbour County, Alabama","B01001_012",1090,46
